 # Id   alpha  r  the  phi  sigma_r   sigma_h   score #
 #  0 generation.# 
  35  30  71  85  519  2428.57  71428.6  4.08677e-05
  36  50  74  100  519  2428.57  71428.6  4.86714e-05
  37  90  80  100  519  2428.57  57142.9  7.02969e-05
  38  10  74  100  622  2142.86  71428.6  5.16914e-05
  39  10  74  85  312  2428.57  71428.6  3.79645e-05
  40  10  74  85  519  2428.57  71428.6  0.000400369
  41  90  74  85  519  2428.57  71428.6  3.76794e-05
  42  10  74  85  570  2428.57  71428.6  0.000111038
  43  0  71  28  519  2428.57  57142.9  3.23317e-05
  44  10  72  85  519  2428.57  71428.6  0.000146305
  45  10  74  28  519  1857.14  71428.6  0.000402204

 #  22 generation.# 
  0  10  74  28  519  1857.14  71428.6  0.000402204
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  10  74  85  519  2428.57  71428.6  0.000400369
  3  10  74  85  519  2428.57  71428.6  0.000400369
  4  10  74  85  519  2428.57  71428.6  0.000400369
  5  10  74  85  519  2428.57  71428.6  0.000400369
  6  0  71  100  519  1285.71  71428.6  3.23317e-05
  7  10  74  85  519  2428.57  71428.6  0.000400369
  8  10  74  85  519  2428.57  71428.6  0.000400369
  9  10  74  100  519  2428.57  57142.9  0.000134313
  10  10  74  100  312  2428.57  100000  3.31945e-05
  11  10  74  42  519  2428.57  71428.6  0.000242729
  12  10  74  100  519  2428.57  71428.6  0.000346927
  13  10  74  28  519  1857.14  71428.6  0.000402204
  14  20  74  85  519  2428.57  71428.6  0.000107709
  15  10  74  85  545  2428.57  71428.6  0.000200005
  16  10  74  100  519  2428.57  71428.6  0.000346927
  17  10  74  28  519  3000  71428.6  0.000146357
  18  50  74  85  545  2428.57  57142.9  0.000102242
  19  10  74  28  545  2428.57  71428.6  0.000253237
  20  10  74  85  519  2428.57  71428.6  0.000400369
  21  10  74  85  519  2428.57  71428.6  0.000400369
  22  10  74  85  519  2428.57  14285.7  3.07724e-05
  23  10  70  85  519  2428.57  71428.6  9.84502e-05
  24  10  74  100  519  2428.57  71428.6  0.000346927
  25  10  74  85  519  2428.57  71428.6  0.000400369
  26  10  74  85  519  2428.57  71428.6  0.000400369
  27  10  74  100  519  2428.57  71428.6  0.000346927
  28  10  71  85  519  2428.57  71428.6  0.000116657
  29  30  74  28  519  2428.57  71428.6  5.13315e-05
  30  10  74  42  519  2428.57  71428.6  0.000242729
  31  10  74  85  532  3000  57142.9  0.00011762
  32  10  74  85  545  2428.57  71428.6  0.000200005
  33  130  74  85  519  2428.57  100000  2.41723e-05
  34  10  71  100  519  2428.57  71428.6  0.000128426
  35  30  74  28  519  2428.57  71428.6  5.13315e-05
  36  10  74  85  519  1285.71  100000  0.000133223
  37  10  71  85  622  2428.57  71428.6  4.65089e-05
  38  30  74  28  545  2428.57  71428.6  6.97281e-05
  39  10  74  85  622  1857.14  71428.6  5.19071e-05
  40  10  74  85  519  2428.57  71428.6  0.000400369
  41  0  74  100  519  2428.57  71428.6  3.23317e-05
  42  90  74  85  519  2428.57  57142.9  4.57024e-05
  43  10  74  85  519  2142.86  14285.7  3.08584e-05
  44  10  74  85  519  2428.57  71428.6  0.000400369
  45  10  72  85  519  2428.57  71428.6  0.000146305

 #  23 generation.# 
  0  10  74  28  519  1857.14  71428.6  0.000402204
  1  10  74  28  519  1857.14  71428.6  0.000402204
  2  30  71  85  519  1285.71  100000  3.42119e-05
  3  10  74  85  622  2428.57  71428.6  5.52758e-05
  4  10  74  100  519  2428.57  71428.6  0.000346927
  5  10  74  28  519  3000  57142.9  0.000194856
  6  50  74  85  519  2428.57  71428.6  4.56307e-05
  7  10  74  85  519  2428.57  71428.6  0.000400369
  8  10  74  28  545  1857.14  71428.6  0.000182411
  9  10  74  85  519  2428.57  71428.6  0.000400369
  10  50  74  85  519  2428.57  100000  3.05686e-05
  11  10  74  57  570  2142.86  71428.6  0.000116966
  12  90  74  85  519  2428.57  71428.6  3.76794e-05
  13  10  74  85  519  2142.86  71428.6  0.000381485
  14  10  74  28  312  1857.14  100000  3.65661e-05
  15  10  74  100  519  2428.57  71428.6  0.000346927
  16  0  70  85  506  2428.57  71428.6  3.23317e-05
  17  10  70  28  622  2428.57  71428.6  4.60775e-05
  18  10  74  85  519  2428.57  71428.6  0.000400369
  19  0  74  85  545  2428.57  71428.6  3.23317e-05
  20  10  74  85  519  2428.57  71428.6  0.000400369
  21  10  74  85  519  2428.57  71428.6  0.000400369
  22  10  74  85  519  2428.57  71428.6  0.000400369
  23  10  74  100  519  2428.57  14285.7  3.03203e-05
  24  10  74  85  519  2428.57  71428.6  0.000400369
  25  10  71  85  622  2428.57  71428.6  4.65089e-05
  26  50  74  28  519  1857.14  71428.6  5.32754e-05
  27  10  74  85  519  2428.57  71428.6  0.000400369
  28  10  74  85  519  2428.57  71428.6  0.000400369
  29  10  74  85  519  2428.57  71428.6  0.000400369
  30  10  72  85  506  2428.57  71428.6  0.000115924
  31  10  80  57  519  3000  100000  6.38322e-05
  32  10  74  85  519  2428.57  71428.6  0.000400369
  33  30  74  85  519  2428.57  71428.6  6.21658e-05
  34  30  74  85  519  2428.57  71428.6  6.21658e-05
  35  30  80  42  519  2428.57  71428.6  6.16746e-05
  36  0  74  28  519  2428.57  71428.6  3.23317e-05
  37  10  71  85  519  2428.57  71428.6  0.000116657
  38  10  71  100  519  2428.57  71428.6  0.000128426
  39  10  74  85  519  2428.57  71428.6  0.000400369
  40  10  74  85  519  2142.86  14285.7  3.08584e-05
  41  0  74  100  622  1285.71  71428.6  3.23317e-05
  42  10  74  28  519  3000  71428.6  0.000146357
  43  10  74  100  519  2428.57  71428.6  0.000346927
  44  10  74  85  519  2428.57  71428.6  0.000400369
  45  10  71  85  519  2428.57  71428.6  0.000116657

 #  24 generation.# 
  0  10  74  28  519  1857.14  71428.6  0.000402204
  1  10  74  28  519  1857.14  71428.6  0.000402204
  2  10  74  57  519  2428.57  71428.6  0.000287158
  3  10  74  85  519  2428.57  71428.6  0.000400369
  4  10  74  85  519  2428.57  71428.6  0.000400369
  5  20  74  85  519  2428.57  100000  3.94216e-05
  6  10  74  28  519  2428.57  71428.6  0.00022992
  7  10  74  85  519  2428.57  71428.6  0.000400369
  8  10  74  85  519  2428.57  71428.6  0.000400369
  9  10  74  28  519  2142.86  71428.6  0.000300556
  10  10  74  85  622  2428.57  71428.6  5.52758e-05
  11  10  74  85  519  3000  71428.6  0.000263667
  12  10  74  85  519  2428.57  71428.6  0.000400369
  13  10  74  85  519  2428.57  71428.6  0.000400369
  14  30  71  85  570  1285.71  100000  3.86091e-05
  15  10  77  85  519  2428.57  71428.6  0.000108652
  16  50  74  85  519  2428.57  71428.6  4.56307e-05
  17  90  74  85  519  2428.57  71428.6  3.76794e-05
  18  10  74  85  312  2428.57  71428.6  3.79645e-05
  19  10  71  85  570  1000  71428.6  5.45232e-05
  20  10  74  85  519  2142.86  57142.9  0.000157776
  21  10  74  100  519  2428.57  71428.6  0.000346927
  22  10  74  85  519  2428.57  71428.6  0.000400369
  23  10  74  100  545  2428.57  71428.6  0.000160951
  24  10  74  85  570  2428.57  71428.6  0.000111038
  25  10  74  85  519  2428.57  71428.6  0.000400369
  26  90  74  85  519  2428.57  71428.6  3.76794e-05
  27  10  74  85  545  1285.71  71428.6  9.80457e-05
  28  10  74  28  519  1857.14  71428.6  0.000402204
  29  10  74  85  545  3000  57142.9  0.000109178
  30  10  74  85  519  2142.86  71428.6  0.000381485
  31  0  80  100  519  2428.57  71428.6  3.23317e-05
  32  10  74  85  519  3000  71428.6  0.000263667
  33  10  72  85  519  1285.71  71428.6  0.000179176
  34  0  74  85  519  1285.71  71428.6  3.23317e-05
  35  90  74  85  648  1285.71  71428.6  3.25636e-05
  36  10  74  85  519  1857.14  71428.6  0.000281195
  37  30  74  28  312  2428.57  71428.6  3.09505e-05
  38  10  71  100  519  2428.57  71428.6  0.000128426
  39  90  80  100  622  2428.57  71428.6  4.74657e-05
  40  10  74  28  519  1857.14  71428.6  0.000402204
  41  10  74  100  519  2428.57  71428.6  0.000346927
  42  10  74  100  519  2428.57  71428.6  0.000346927
  43  10  74  85  519  2428.57  42857.1  7.13458e-05
  44  10  74  100  519  2428.57  14285.7  3.03203e-05
  45  50  74  85  519  2428.57  100000  3.05686e-05

 #  25 generation.# 
  0  10  74  28  519  1857.14  71428.6  0.000402204
  1  10  74  28  519  1857.14  71428.6  0.000402204
  2  10  74  100  519  2428.57  71428.6  0.000346927
  3  10  72  85  519  2428.57  71428.6  0.000146305
  4  10  74  85  558  2428.57  71428.6  0.000140968
  5  10  74  100  519  2428.57  71428.6  0.000346927
  6  10  74  28  519  1857.14  71428.6  0.000402204
  7  10  71  57  519  2428.57  71428.6  9.70282e-05
  8  10  74  28  519  2428.57  71428.6  0.00022992
  9  10  71  85  519  2428.57  71428.6  0.000116657
  10  0  74  85  519  1857.14  100000  3.23317e-05
  11  90  74  85  545  1285.71  71428.6  7.33947e-05
  12  10  74  85  545  2428.57  71428.6  0.000200005
  13  10  74  85  519  2142.86  71428.6  0.000381485
  14  10  74  100  519  2428.57  71428.6  0.000346927
  15  10  80  85  519  2142.86  71428.6  4.36814e-05
  16  10  74  85  519  2428.57  71428.6  0.000400369
  17  90  71  100  519  2142.86  57142.9  3.28089e-05
  18  10  74  85  519  2428.57  71428.6  0.000400369
  19  10  74  85  519  3000  57142.9  0.000175771
  20  10  74  100  519  2428.57  100000  7.07982e-05
  21  10  74  28  519  1857.14  71428.6  0.000402204
  22  10  74  85  519  2428.57  14285.7  3.07724e-05
  23  10  74  57  596  1000  71428.6  5.53592e-05
  24  10  74  57  519  3000  71428.6  0.000168466
  25  10  71  57  519  2428.57  71428.6  9.70282e-05
  26  10  74  100  519  2428.57  71428.6  0.000346927
  27  10  80  57  519  2428.57  100000  5.26397e-05
  28  10  74  28  519  1857.14  71428.6  0.000402204
  29  30  74  85  519  2428.57  71428.6  6.21658e-05
  30  10  74  85  519  2428.57  71428.6  0.000400369
  31  10  74  85  519  2428.57  71428.6  0.000400369
  32  10  74  57  519  2428.57  71428.6  0.000287158
  33  10  71  85  519  2428.57  71428.6  0.000116657
  34  10  74  85  364  2428.57  71428.6  4.33866e-05
  35  10  74  85  519  2428.57  71428.6  0.000400369
  36  10  74  0  545  1857.14  71428.6  0.000112948
  37  10  74  100  312  2428.57  71428.6  3.73467e-05
  38  50  74  85  519  2428.57  71428.6  4.56307e-05
  39  0  74  85  545  2428.57  71428.6  3.23317e-05
  40  10  74  28  519  3000  71428.6  0.000146357
  41  0  74  28  519  2428.57  71428.6  3.23317e-05
  42  30  74  85  338  2428.57  100000  2.61973e-05
  43  10  74  100  519  2142.86  14285.7  3.04021e-05
  44  30  71  85  570  1285.71  100000  3.86091e-05
  45  50  74  100  519  2428.57  14285.7  2.88114e-05

 #  26 generation.# 
  0  10  74  28  519  1857.14  71428.6  0.000402204
  1  10  74  28  519  1857.14  71428.6  0.000402204
  2  10  74  28  519  2428.57  71428.6  0.00022992
  3  10  80  85  312  1285.71  71428.6  3.15116e-05
  4  10  74  85  312  2428.57  71428.6  3.79645e-05
  5  10  74  85  519  1285.71  71428.6  0.000147764
  6  10  71  85  622  1285.71  71428.6  4.53805e-05
  7  10  74  85  519  2428.57  71428.6  0.000400369
  8  10  74  100  519  2428.57  71428.6  0.000346927
  9  10  74  85  519  2428.57  71428.6  0.000400369
  10  10  74  28  519  1857.14  71428.6  0.000402204
  11  10  74  71  519  2142.86  14285.7  3.3823e-05
  12  10  74  100  519  2428.57  71428.6  0.000346927
  13  10  74  42  519  2428.57  71428.6  0.000242729
  14  10  74  28  622  1857.14  71428.6  5.38169e-05
  15  10  72  28  519  2428.57  71428.6  0.000105677
  16  10  74  85  519  2428.57  71428.6  0.000400369
  17  10  74  85  519  2428.57  71428.6  0.000400369
  18  10  74  28  545  2428.57  71428.6  0.000253237
  19  10  74  85  519  2428.57  71428.6  0.000400369
  20  10  74  85  545  2428.57  71428.6  0.000200005
  21  10  74  28  519  3000  71428.6  0.000146357
  22  10  72  0  519  1857.14  71428.6  0.000117869
  23  10  80  100  519  2428.57  71428.6  4.6733e-05
  24  10  71  85  519  2428.57  71428.6  0.000116657
  25  10  74  85  519  1857.14  14285.7  3.09825e-05
  26  10  74  85  519  3000  57142.9  0.000175771
  27  50  74  85  519  3000  71428.6  3.75556e-05
  28  10  74  85  545  2428.57  71428.6  0.000200005
  29  10  74  85  519  1285.71  71428.6  0.000147764
  30  10  71  57  519  2428.57  71428.6  9.70282e-05
  31  10  74  85  519  2428.57  71428.6  0.000400369
  32  90  74  28  519  1857.14  71428.6  4.2795e-05
  33  90  80  85  519  2428.57  71428.6  8.69985e-05
  34  10  72  85  519  2428.57  71428.6  0.000146305
  35  30  74  85  519  2428.57  71428.6  6.21658e-05
  36  10  74  28  519  1857.14  14285.7  3.30852e-05
  37  10  72  85  312  2428.57  71428.6  4.19529e-05
  38  0  71  85  519  2428.57  71428.6  3.23317e-05
  39  90  74  85  519  2428.57  57142.9  4.57024e-05
  40  0  71  85  519  2142.86  71428.6  3.23317e-05
  41  10  80  85  519  1285.71  71428.6  3.60408e-05
  42  10  74  100  519  2428.57  71428.6  0.000346927
  43  110  74  85  312  2428.57  71428.6  2.28338e-05
  44  0  74  100  519  2428.57  71428.6  3.23317e-05
  45  10  80  85  545  2428.57  71428.6  4.44301e-05

 #  27 generation.# 
  0  10  74  28  519  1857.14  71428.6  0.000402204
  1  10  74  28  519  1857.14  71428.6  0.000402204
  2  10  74  100  545  2428.57  71428.6  0.000160951
  3  10  74  42  519  2714.29  71428.6  0.000171033
  4  10  71  0  519  2428.57  71428.6  7.75878e-05
  5  30  74  85  519  1857.14  71428.6  0.000100405
  6  10  72  85  519  2428.57  71428.6  0.000146305
  7  10  74  85  519  2428.57  71428.6  0.000400369
  8  10  80  85  519  2428.57  71428.6  4.75171e-05
  9  10  74  85  519  2428.57  71428.6  0.000400369
  10  10  74  28  519  1857.14  71428.6  0.000402204
  11  10  74  85  519  2142.86  71428.6  0.000381485
  12  10  74  85  519  2428.57  71428.6  0.000400369
  13  10  74  100  519  2428.57  71428.6  0.000346927
  14  10  74  28  622  1857.14  71428.6  5.38169e-05
  15  10  74  100  519  2428.57  71428.6  0.000346927
  16  10  74  85  519  1857.14  14285.7  3.09825e-05
  17  10  74  100  545  2428.57  71428.6  0.000160951
  18  10  74  28  519  1285.71  71428.6  0.00016366
  19  10  74  85  622  3000  71428.6  5.71422e-05
  20  50  74  100  519  2428.57  71428.6  4.86714e-05
  21  10  72  85  519  2428.57  71428.6  0.000146305
  22  10  74  85  596  2428.57  71428.6  7.50688e-05
  23  10  71  85  519  2428.57  71428.6  0.000116657
  24  10  74  100  519  2428.57  71428.6  0.000346927
  25  10  80  28  622  1857.14  71428.6  3.66145e-05
  26  10  74  28  519  1857.14  71428.6  0.000402204
  27  10  74  28  519  1285.71  71428.6  0.00016366
  28  10  74  85  519  1285.71  71428.6  0.000147764
  29  10  74  85  519  2428.57  71428.6  0.000400369
  30  30  74  28  519  1285.71  100000  4.44613e-05
  31  10  74  85  545  1000  71428.6  8.19311e-05
  32  90  71  85  519  2428.57  71428.6  2.5095e-05
  33  50  74  85  519  2428.57  71428.6  4.56307e-05
  34  10  74  28  519  1857.14  71428.6  0.000402204
  35  30  74  85  519  2428.57  71428.6  6.21658e-05
  36  10  74  85  519  2428.57  71428.6  0.000400369
  37  10  74  100  519  2428.57  57142.9  0.000134313
  38  50  74  85  519  2428.57  71428.6  4.56307e-05
  39  10  74  85  519  1857.14  100000  8.33679e-05
  40  10  74  85  519  2428.57  71428.6  0.000400369
  41  10  74  85  596  1857.14  71428.6  6.79808e-05
  42  40  74  85  570  2428.57  71428.6  8.77332e-05
  43  90  74  100  519  2142.86  71428.6  4.494e-05
  44  10  74  100  519  2428.57  71428.6  0.000346927
  45  50  71  85  312  2428.57  71428.6  2.45727e-05

 #  28 generation.# 
  0  10  74  28  519  1857.14  71428.6  0.000402204
  1  10  74  28  519  1857.14  71428.6  0.000402204
  2  10  74  85  519  2142.86  71428.6  0.000381485
  3  10  74  85  519  2428.57  71428.6  0.000400369
  4  10  74  85  519  2428.57  71428.6  0.000400369
  5  10  74  85  519  2428.57  71428.6  0.000400369
  6  10  74  85  519  3000  100000  5.55996e-05
  7  10  74  85  506  2428.57  71428.6  0.000287725
  8  10  74  100  519  2428.57  71428.6  0.000346927
  9  10  72  100  519  2428.57  71428.6  0.000173402
  10  10  74  28  519  1285.71  71428.6  0.00016366
  11  10  74  85  519  1000  71428.6  0.000111462
  12  10  74  42  519  2714.29  71428.6  0.000171033
  13  10  80  42  519  1285.71  71428.6  3.58259e-05
  14  10  72  85  519  2428.57  71428.6  0.000146305
  15  10  74  85  545  2428.57  71428.6  0.000200005
  16  30  74  85  519  2428.57  71428.6  6.21658e-05
  17  30  74  57  519  3000  71428.6  3.98241e-05
  18  10  71  85  519  2142.86  57142.9  8.59777e-05
  19  10  74  85  519  2428.57  71428.6  0.000400369
  20  10  74  28  519  1857.14  71428.6  0.000402204
  21  10  72  85  519  2428.57  71428.6  0.000146305
  22  10  74  85  519  2428.57  71428.6  0.000400369
  23  50  71  28  519  1571.43  71428.6  3.52761e-05
  24  10  74  42  519  1857.14  71428.6  0.000521892
  25  10  71  28  506  1285.71  71428.6  9.76066e-05
  26  10  74  28  519  1857.14  71428.6  0.000402204
  27  30  74  28  545  1857.14  71428.6  0.000119786
  28  10  74  28  519  1857.14  71428.6  0.000402204
  29  10  74  100  519  2428.57  71428.6  0.000346927
  30  10  74  28  519  1857.14  71428.6  0.000402204
  31  10  71  85  519  2428.57  71428.6  0.000116657
  32  10  74  85  596  2428.57  14285.7  2.8807e-05
  33  10  74  28  519  1285.71  71428.6  0.00016366
  34  10  74  100  519  2428.57  71428.6  0.000346927
  35  10  74  85  312  2428.57  71428.6  3.79645e-05
  36  10  74  28  519  2428.57  71428.6  0.00022992
  37  40  80  85  519  1285.71  71428.6  3.93081e-05
  38  50  74  85  519  2428.57  71428.6  4.56307e-05
  39  10  71  42  312  2428.57  71428.6  4.33206e-05
  40  10  74  85  519  2428.57  71428.6  0.000400369
  41  40  74  85  519  2428.57  71428.6  4.95144e-05
  42  10  74  85  519  2428.57  71428.6  0.000400369
  43  10  80  100  519  1857.14  71428.6  4.02658e-05
  44  50  74  85  519  1285.71  71428.6  9.71981e-05
  45  10  74  85  519  3000  71428.6  0.000263667

 #  29 generation.# 
  0  10  74  42  519  1857.14  71428.6  0.000521892
  1  10  74  28  519  1857.14  71428.6  0.000402204
  2  50  74  85  519  1285.71  57142.9  0.000160215
  3  10  74  28  519  1857.14  71428.6  0.000402204
  4  10  74  85  519  2428.57  71428.6  0.000400369
  5  10  72  100  519  2428.57  71428.6  0.000173402
  6  10  74  85  519  3000  71428.6  0.000263667
  7  10  74  85  519  2428.57  71428.6  0.000400369
  8  10  74  85  519  2428.57  71428.6  0.000400369
  9  10  74  85  519  2428.57  71428.6  0.000400369
  10  10  74  42  519  2714.29  71428.6  0.000171033
  11  10  74  85  519  1571.43  71428.6  0.000204248
  12  30  74  28  545  1857.14  71428.6  0.000119786
  13  10  74  28  519  2428.57  71428.6  0.00022992
  14  10  74  28  519  2142.86  71428.6  0.000300556
  15  10  74  100  519  2428.57  71428.6  0.000346927
  16  10  74  85  519  2428.57  71428.6  0.000400369
  17  10  72  28  519  1285.71  71428.6  0.000135789
  18  30  74  28  519  1571.43  71428.6  8.90482e-05
  19  10  74  85  545  2142.86  71428.6  0.000181444
  20  10  74  100  519  2428.57  71428.6  0.000346927
  21  10  74  100  519  2428.57  71428.6  0.000346927
  22  10  71  28  519  2428.57  71428.6  8.4924e-05
  23  0  72  85  506  2428.57  71428.6  3.23317e-05
  24  10  74  85  519  2428.57  71428.6  0.000400369
  25  10  71  28  519  2428.57  71428.6  8.4924e-05
  26  10  74  28  519  2142.86  71428.6  0.000300556
  27  0  74  100  519  2428.57  71428.6  3.23317e-05
  28  0  74  85  519  2428.57  71428.6  3.23317e-05
  29  10  74  85  545  1285.71  14285.7  3.25288e-05
  30  10  74  42  519  1857.14  100000  6.833e-05
  31  10  74  85  570  2428.57  71428.6  0.000111038
  32  10  72  42  519  2714.29  71428.6  9.35519e-05
  33  10  74  85  519  2428.57  71428.6  0.000400369
  34  30  74  57  519  3000  71428.6  3.98241e-05
  35  10  74  85  622  1571.43  71428.6  4.93064e-05
  36  10  74  71  519  2428.57  71428.6  0.00035967
  37  10  74  85  519  2428.57  71428.6  0.000400369
  38  10  74  28  519  1857.14  71428.6  0.000402204
  39  10  80  85  519  2428.57  71428.6  4.75171e-05
  40  10  74  85  519  2714.29  71428.6  0.000333179
  41  10  74  28  519  1285.71  100000  8.85723e-05
  42  10  74  28  519  1857.14  71428.6  0.000402204
  43  10  74  85  519  2714.29  14285.7  3.07496e-05
  44  10  74  85  519  2142.86  71428.6  0.000381485
  45  50  74  85  312  2428.57  71428.6  2.71755e-05

 #  30 generation.# 
  0  10  74  42  519  1857.14  71428.6  0.000521892
  1  10  74  28  519  1857.14  71428.6  0.000402204
  2  10  74  42  519  2714.29  71428.6  0.000171033
  3  10  74  28  519  3000  71428.6  0.000146357
  4  0  74  71  519  2428.57  71428.6  3.23317e-05
  5  10  74  28  519  1857.14  57142.9  0.000170587
  6  10  71  28  519  2428.57  71428.6  8.4924e-05
  7  10  72  85  519  2428.57  71428.6  0.000146305
  8  10  72  100  570  2428.57  14285.7  2.94462e-05
  9  10  74  85  545  2428.57  100000  9.67833e-05
  10  10  74  57  519  2428.57  71428.6  0.000287158
  11  10  74  85  519  2428.57  71428.6  0.000400369
  12  10  74  28  519  2428.57  71428.6  0.00022992
  13  10  74  85  570  2428.57  71428.6  0.000111038
  14  10  74  85  570  2142.86  71428.6  0.000105329
  15  10  74  100  519  2428.57  71428.6  0.000346927
  16  10  74  85  506  3000  71428.6  0.00017985
  17  10  74  100  570  2428.57  71428.6  9.77286e-05
  18  10  74  100  519  2142.86  71428.6  0.000304208
  19  10  74  85  545  3000  71428.6  0.00020503
  20  10  74  28  519  2142.86  71428.6  0.000300556
  21  10  74  85  519  1285.71  71428.6  0.000147764
  22  0  74  85  506  2428.57  71428.6  3.23317e-05
  23  10  74  28  519  2714.29  71428.6  0.000178537
  24  10  74  28  519  1857.14  71428.6  0.000402204
  25  10  74  28  519  1285.71  71428.6  0.00016366
  26  10  74  85  519  2428.57  71428.6  0.000400369
  27  10  72  100  519  2428.57  71428.6  0.000173402
  28  30  74  85  519  2428.57  71428.6  6.21658e-05
  29  0  74  85  519  2428.57  71428.6  3.23317e-05
  30  10  74  42  519  1857.14  71428.6  0.000521892
  31  10  71  85  506  2428.57  71428.6  0.000101616
  32  10  71  28  519  2142.86  71428.6  8.88347e-05
  33  10  71  100  570  2428.57  71428.6  7.98245e-05
  34  10  74  28  519  2142.86  71428.6  0.000300556
  35  10  74  100  519  2428.57  14285.7  3.03203e-05
  36  10  74  28  519  1857.14  71428.6  0.000402204
  37  50  74  85  519  2428.57  71428.6  4.56307e-05
  38  10  74  28  519  1857.14  71428.6  0.000402204
  39  10  80  71  519  1571.43  71428.6  3.81489e-05
  40  30  74  85  519  3000  71428.6  5.07096e-05
  41  0  80  85  519  1285.71  71428.6  3.23317e-05
  42  10  74  85  519  2428.57  71428.6  0.000400369
  43  10  74  28  558  2428.57  71428.6  0.000143239
  44  0  74  85  519  1285.71  71428.6  3.23317e-05
  45  10  74  85  570  3000  71428.6  0.000113217

 #  31 generation.# 
  0  10  74  42  519  1857.14  71428.6  0.000521892
  1  10  74  42  519  1857.14  71428.6  0.000521892
  2  10  74  100  570  2428.57  71428.6  9.77286e-05
  3  10  74  28  519  1857.14  71428.6  0.000402204
  4  10  72  100  519  2428.57  100000  6.23012e-05
  5  10  74  85  519  2428.57  71428.6  0.000400369
  6  10  74  85  519  1285.71  71428.6  0.000147764
  7  10  74  85  570  2428.57  71428.6  0.000111038
  8  10  74  85  338  2428.57  71428.6  4.07323e-05
  9  10  74  28  519  1285.71  71428.6  0.00016366
  10  10  74  85  519  2428.57  71428.6  0.000400369
  11  10  74  85  519  2428.57  71428.6  0.000400369
  12  10  72  42  570  2428.57  42857.1  5.79072e-05
  13  90  74  85  519  2142.86  71428.6  4.1852e-05
  14  10  74  28  519  2714.29  71428.6  0.000178537
  15  10  80  85  519  3000  71428.6  5.87058e-05
  16  10  74  28  519  2142.86  71428.6  0.000300556
  17  10  74  42  506  2428.57  71428.6  0.000122522
  18  10  74  85  648  3000  71428.6  4.64842e-05
  19  0  74  85  545  2142.86  71428.6  3.23317e-05
  20  10  74  100  519  2142.86  71428.6  0.000304208
  21  10  74  42  519  3000  71428.6  0.000144296
  22  10  71  100  570  1285.71  71428.6  5.72668e-05
  23  10  74  85  519  1857.14  71428.6  0.000281195
  24  10  74  28  519  1285.71  85714.3  0.000127522
  25  10  72  100  519  2428.57  71428.6  0.000173402
  26  10  74  85  506  1285.71  71428.6  0.000183436
  27  50  74  85  519  2428.57  57142.9  5.91332e-05
  28  90  74  100  519  2142.86  71428.6  4.494e-05
  29  10  74  42  519  1857.14  71428.6  0.000521892
  30  0  74  85  545  2428.57  85714.3  3.23317e-05
  31  10  74  100  519  2142.86  57142.9  0.000126282
  32  10  74  28  519  1857.14  57142.9  0.000170587
  33  10  74  0  519  2428.57  100000  5.50128e-05
  34  10  74  28  519  1857.14  100000  6.68282e-05
  35  10  71  85  519  2428.57  71428.6  0.000116657
  36  10  74  28  519  1571.43  57142.9  0.000125463
  37  50  74  28  519  1000  71428.6  8.35214e-05
  38  10  74  28  506  2142.86  71428.6  0.000134657
  39  30  74  71  519  1857.14  71428.6  9.05798e-05
  40  50  74  28  570  2142.86  71428.6  6.9672e-05
  41  0  72  85  519  2142.86  71428.6  3.23317e-05
  42  90  74  28  519  2142.86  71428.6  4.04357e-05
  43  0  74  85  519  2428.57  71428.6  3.23317e-05
  44  10  74  42  519  1857.14  71428.6  0.000521892
  45  50  74  28  312  1857.14  71428.6  2.82969e-05

 #  32 generation.# 
  0  10  74  42  519  1857.14  71428.6  0.000521892
  1  10  74  42  519  1857.14  71428.6  0.000521892
  2  10  74  28  519  1857.14  57142.9  0.000170587
  3  10  72  42  570  1285.71  100000  0.000101828
  4  10  74  57  519  1285.71  71428.6  0.000186806
  5  30  74  85  519  2142.86  71428.6  7.22703e-05
  6  10  74  42  519  1857.14  71428.6  0.000521892
  7  10  74  28  519  2142.86  71428.6  0.000300556
  8  10  74  42  506  1857.14  85714.3  8.58082e-05
  9  10  74  85  519  2428.57  71428.6  0.000400369
  10  50  74  85  519  2428.57  57142.9  5.91332e-05
  11  50  74  28  519  2142.86  71428.6  4.73075e-05
  12  10  74  28  519  1285.71  71428.6  0.00016366
  13  10  74  0  519  1285.71  71428.6  0.000124622
  14  0  74  28  519  1285.71  71428.6  3.23317e-05
  15  10  74  85  570  2428.57  57142.9  7.34325e-05
  16  10  74  28  519  2714.29  71428.6  0.000178537
  17  30  74  28  519  2142.86  71428.6  6.01273e-05
  18  10  74  42  519  1857.14  71428.6  0.000521892
  19  10  74  14  519  3000  71428.6  0.000148441
  20  10  74  85  519  1857.14  71428.6  0.000281195
  21  10  74  100  519  1285.71  71428.6  0.000138244
  22  10  74  42  519  1857.14  100000  6.833e-05
  23  10  72  28  519  3000  42857.1  6.1162e-05
  24  10  74  42  519  1857.14  71428.6  0.000521892
  25  10  74  85  506  2428.57  71428.6  0.000287725
  26  10  74  85  519  2428.57  71428.6  0.000400369
  27  10  74  100  570  2428.57  71428.6  9.77286e-05
  28  10  74  42  506  2142.86  71428.6  0.000147963
  29  10  71  28  506  1285.71  71428.6  9.76066e-05
  30  10  74  28  519  1285.71  85714.3  0.000127522
