 # Id   alpha  r  the  phi  sigma_r   sigma_h   score #
 #  0 generation.# 
  11  30  74  100  519  2428.57  71428.6  7.5554e-05
  12  10  74  57  519  2428.57  71428.6  0.000287158
  13  10  74  85  519  2428.57  71428.6  0.000400369
  14  10  71  85  506  2428.57  71428.6  0.000101616
  15  10  74  28  519  2142.86  71428.6  0.000300556
  16  10  74  85  519  2428.57  71428.6  0.000400369
  17  10  74  28  519  2428.57  71428.6  0.00022992
  18  10  71  85  506  2428.57  71428.6  0.000101616
  19  10  74  100  519  2714.29  71428.6  0.000333975
  20  10  74  100  570  2428.57  71428.6  9.77286e-05
  21  10  74  85  596  2428.57  71428.6  7.50688e-05
  22  10  74  85  519  2428.57  71428.6  0.000400369
  23  10  71  85  519  2428.57  71428.6  0.000116657
  24  10  74  85  506  2428.57  71428.6  0.000287725
  25  90  80  85  519  2428.57  71428.6  8.69985e-05
  26  10  74  85  519  2428.57  71428.6  0.000400369
  27  90  74  14  312  3000  71428.6  2.35377e-05
  28  10  74  85  519  2428.57  57142.9  0.000173567
  29  10  80  85  519  2428.57  42857.1  3.92469e-05
  30  10  71  85  519  2428.57  71428.6  0.000116657
  31  50  74  85  519  2428.57  71428.6  4.56307e-05
  32  10  80  85  519  2428.57  71428.6  4.75171e-05
  33  50  77  100  545  2142.86  71428.6  0.000164805
  34  10  74  85  312  2428.57  71428.6  3.79645e-05
  35  10  80  85  519  2428.57  71428.6  4.75171e-05
  36  10  74  85  519  2142.86  71428.6  0.000381485
  37  10  74  57  622  1285.71  71428.6  4.85406e-05
  38  0  80  85  312  3000  71428.6  3.23317e-05
  39  10  74  85  519  2428.57  71428.6  0.000400369
  40  10  74  85  519  2428.57  71428.6  0.000400369
  41  0  74  85  519  2428.57  71428.6  3.23317e-05
  42  10  74  85  519  2428.57  100000  6.44063e-05
  43  10  71  42  519  2428.57  14285.7  2.92613e-05
  44  10  74  85  519  1285.71  71428.6  0.000147764
  45  90  71  100  312  2428.57  71428.6  2.16051e-05

 #  7 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  10  74  85  519  2428.57  71428.6  0.000400369
  3  10  72  85  519  1000  71428.6  0.000161213
  4  10  74  85  519  2428.57  71428.6  0.000400369
  5  10  72  85  519  2428.57  100000  5.47246e-05
  6  50  77  100  648  2142.86  71428.6  4.29773e-05
  7  10  74  85  506  2428.57  71428.6  0.000287725
  8  0  74  85  519  2428.57  71428.6  3.23317e-05
  9  50  71  85  519  2142.86  71428.6  3.01737e-05
  10  10  74  100  519  2714.29  71428.6  0.000333975
  11  90  74  85  570  2428.57  71428.6  3.7091e-05
  12  10  74  85  519  2428.57  71428.6  0.000400369
  13  10  74  85  519  2428.57  71428.6  0.000400369
  14  10  74  100  519  2428.57  14285.7  3.03203e-05
  15  10  74  100  519  2428.57  71428.6  0.000346927
  16  0  71  85  506  2428.57  71428.6  3.23317e-05
  17  10  74  57  622  1857.14  71428.6  5.40775e-05
  18  10  74  85  519  2428.57  71428.6  0.000400369
  19  10  80  28  519  2428.57  71428.6  4.5258e-05
  20  10  74  85  519  2428.57  57142.9  0.000173567
  21  70  74  28  519  2428.57  71428.6  4.0521e-05
  22  10  80  85  519  2428.57  71428.6  4.75171e-05
  23  10  74  85  519  2428.57  71428.6  0.000400369
  24  0  74  85  506  2428.57  71428.6  3.23317e-05
  25  10  71  85  545  3000  71428.6  9.94231e-05
  26  10  74  85  622  2428.57  71428.6  5.52758e-05
  27  10  74  100  519  2428.57  71428.6  0.000346927
  28  10  74  85  519  2428.57  71428.6  0.000400369
  29  10  71  85  519  1285.71  71428.6  0.000102492
  30  10  71  85  312  2428.57  71428.6  4.05323e-05
  31  10  74  85  519  2428.57  100000  6.44063e-05
  32  50  71  85  519  2428.57  71428.6  2.86405e-05
  33  10  74  42  519  2142.86  71428.6  0.000347596
  34  10  74  57  519  2428.57  57142.9  0.000225619
  35  10  74  85  519  2428.57  71428.6  0.000400369
  36  10  74  85  519  2142.86  71428.6  0.000381485
  37  10  74  85  519  2142.86  71428.6  0.000381485
  38  10  74  85  519  2428.57  71428.6  0.000400369
  39  90  74  100  519  2714.29  71428.6  3.60699e-05
  40  10  80  85  648  2428.57  71428.6  3.75771e-05
  41  10  74  85  519  2428.57  71428.6  0.000400369
  42  10  74  85  519  2428.57  71428.6  0.000400369
  43  0  74  85  519  2428.57  71428.6  3.23317e-05
  44  0  74  85  519  2428.57  71428.6  3.23317e-05
  45  10  74  28  312  2142.86  71428.6  3.49531e-05

 #  8 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  10  74  100  519  2714.29  71428.6  0.000333975
  3  10  72  85  519  1000  71428.6  0.000161213
  4  10  74  85  519  3000  71428.6  0.000263667
  5  10  74  85  519  2428.57  71428.6  0.000400369
  6  10  74  85  519  2428.57  71428.6  0.000400369
  7  0  74  85  519  2428.57  71428.6  3.23317e-05
  8  10  74  85  519  2428.57  100000  6.44063e-05
  9  10  74  85  519  2428.57  71428.6  0.000400369
  10  130  74  85  570  2428.57  71428.6  3.2173e-05
  11  10  74  85  519  2142.86  71428.6  0.000381485
  12  10  74  100  519  2428.57  71428.6  0.000346927
  13  10  74  85  506  2428.57  71428.6  0.000287725
  14  10  72  85  519  1000  71428.6  0.000161213
  15  10  74  85  506  2142.86  71428.6  0.000350465
  16  90  74  85  519  2428.57  71428.6  3.76794e-05
  17  10  74  85  519  2142.86  71428.6  0.000381485
  18  10  74  28  545  2428.57  71428.6  0.000253237
  19  10  74  57  519  2428.57  71428.6  0.000287158
  20  10  74  85  519  2142.86  71428.6  0.000381485
  21  10  74  57  519  2428.57  71428.6  0.000287158
  22  90  74  85  519  2428.57  71428.6  3.76794e-05
  23  10  74  100  545  2142.86  71428.6  0.00012079
  24  50  74  85  519  2428.57  71428.6  4.56307e-05
  25  10  74  85  519  2428.57  71428.6  0.000400369
  26  10  74  85  312  2428.57  71428.6  3.79645e-05
  27  10  71  71  519  2428.57  71428.6  0.000105881
  28  10  74  42  519  2142.86  71428.6  0.000347596
  29  10  72  85  570  1285.71  71428.6  7.7428e-05
  30  10  74  85  519  2428.57  71428.6  0.000400369
  31  10  74  100  519  2428.57  14285.7  3.03203e-05
  32  10  74  100  519  2428.57  71428.6  0.000346927
  33  10  74  28  519  2428.57  71428.6  0.00022992
  34  10  74  57  519  2428.57  57142.9  0.000225619
  35  10  72  85  519  2428.57  71428.6  0.000146305
  36  10  74  42  519  2142.86  14285.7  2.55286e-05
  37  10  80  85  519  2428.57  57142.9  4.32642e-05
  38  10  74  85  519  2428.57  71428.6  0.000400369
  39  90  74  85  519  2428.57  71428.6  3.76794e-05
  40  10  74  85  519  2428.57  71428.6  0.000400369
  41  10  74  85  519  3000  71428.6  0.000263667
  42  10  74  85  519  2428.57  71428.6  0.000400369
  43  10  74  28  545  2428.57  71428.6  0.000253237
  44  10  74  100  519  2428.57  71428.6  0.000346927
  45  90  71  85  312  1285.71  71428.6  1.86645e-05

 #  9 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  10  74  85  545  2142.86  71428.6  0.000181444
