 # Ind   alpha  r  the  phi  sigma_r   sigma_h   score #
 #   0 generation   #
21  50   77   0   506   2142.86   60000
22  10   71   28   532   2142.86   60000
23  50   70   28   532   2142.86   60000

 #   9 generation   #
0  10   71   28   532   2142.86   60000
1  10   71   28   532   2142.86   60000
2  10   71   28   532   2428.57   40000
3  10   71   28   532   2142.86   60000
4  10   71   28   532   2142.86   60000
5  10   71   28   532   2142.86   60000
6  10   71   28   532   2142.86   60000
7  10   71   28   532   2142.86   60000
8  130   77   28   532   2142.86   60000
9  50   77   42   545   2142.86   60000
10  10   71   28   532   2428.57   60000
11  50   77   28   532   2142.86   50000
12  10   71   28   532   1571.43   40000
13  10   71   42   545   2142.86   60000
14  50   77   28   325   2142.86   60000
15  130   77   28   532   2142.86   60000
16  10   71   28   532   2142.86   60000
17  50   77   0   506   2714.29   60000
18  10   71   28   635   2142.86   60000
19  50   71   28   532   2142.86   60000
20  10   71   0   506   2142.86   60000
21  130   71   28   532   2142.86   60000
22  10   71   28   635   2142.86   60000
23  50   77   28   532   2714.29   60000

 #   10 generation   #
0  10   71   28   532   2142.86   60000
1  10   71   28   532   2142.86   60000
2  10   71   28   532   2142.86   60000
3  10   71   28   532   2142.86   60000
4  10   71   28   532   2142.86   60000
5  130   71   42   545   2428.57   60000
6  10   71   28   532   2142.86   60000
7  10   71   28   532   2142.86   60000
8  50   77   28   532   2714.29   30000
9  30   70   28   532   1000   60000
10  10   71   28   532   2142.86   60000
11  10   71   28   532   2142.86   60000
12  10   71   85   583   2142.86   60000
13  30   71   28   532   2142.86   60000
14  10   71   28   532   1000   60000
15  10   71   28   532   2142.86   60000
16  10   71   28   532   2142.86   60000
17  70   77   28   532   2142.86   50000
18  10   71   28   532   2142.86   60000
19  10   71   28   532   2142.86   60000
20  10   77   28   532   2428.57   100000
21  10   71   28   532   2142.86   60000
22  10   71   28   532   2428.57   60000
23  90   71   0   506   2142.86   100000

 #   11 generation   #
0  10   71   28   532   2142.86   60000
1  10   71   28   532   2142.86   60000
2  0   71   28   532   2142.86   60000
3  30   71   28   532   2428.57   60000
4  10   71   28   532   2142.86   60000
5  30   71   28   532   2714.29   60000
6  10   71   0   506   2428.57   40000
7  30   71   28   532   2142.86   60000
8  10   71   28   532   2142.86   60000
9  10   71   85   583   2142.86   60000
10  10   74   28   532   1000   60000
11  10   71   28   532   2142.86   60000
12  10   71   28   532   2142.86   60000
13  10   71   28   532   2142.86   60000
14  90   71   0   506   2428.57   90000
15  10   71   28   532   2142.86   60000
16  30   71   28   532   2142.86   60000
17  10   70   28   532   1000   60000
18  10   70   42   545   2142.86   60000
19  10   71   28   532   2142.86   60000
20  10   71   28   532   2142.86   60000
21  10   71   28   532   2142.86   60000
22  10   71   28   532   2428.57   60000
23  10   71   28   532   2142.86   60000

 #   12 generation   #
0  10   71   28   532   2142.86   60000
1  10   71   28   532   2142.86   60000
2  10   71   28   325   2142.86   60000
3  10   71   28   532   2142.86   60000
4  10   71   28   532   2428.57   60000
5  10   71   28   532   2142.86   60000
6  30   71   28   532   2714.29   60000
